Name,Wallet,Comment
Vitalik Buterin,0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B,Founder of Etheruem.
Vitalik Buterin,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,Founder of Etheruem.
Vitalik Buterin,0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,Founder of Etheruem.
Tetranode,0x9c5083dd4838e120dbeac44c052179692aa5dac5,Possible
Tetranode,0xa22eb3338dfd69458513a1f6d4742ab29f7ef333,Possible
Blocktower,0x5A27DBBfF05F36DC927137855E3381f0c20C1CDd,Possible
Andre Cronje,0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,Possible
Andre Cronje,0x2d407ddb06311396fe14d4b49da5f0471447d45c,Possible
Daniele Sesta,0x8a7f7c5b556b1298a74c0e89df46eba117a2f6c1,Possible
Crypto Messiah,0xca86d57519dbfe34a25eef0923b259ab07986b71,Possible
Crypto Messiah,0xbcfd5dbec5f49230210e0be85cee183097e840aa,Possible
Justin Sun,0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,Possible
Sifu,0x5dd596c901987a2b28c38a9c1dfbf86fffc15d77,Possible
Rekt food farmer,0x2d1bdc590cb736097bc5577c8974e28dc48f5ecc,Possible
Food Farmer Finance Farming Wallet,0x9d993fcf62dca90842e770f8e78a07109225253d,Possible
Convexking.eth,0xc7c022bd85529bed1b92de4ba847f3f4e8fd5cbf,Possible
Exponential Capital,0x9e2f500a31f5b6ec0bdfc87957587307d247a595,Possible
@MJthePopstar,0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,Possible
Mark Cuban,0xa679c6154b8d4619af9f83f0bf9a13a680e01ecf,Possible
Mark Cuban,0x293ed38530005620e4b28600f196a97e1125daac,Possible
Beeple,0xc6b0562605d35ee710138402b878ffe6f2e23807,Possible
Zhu Su,0x085af684acdb1220d111fee971b733c5e5ae6ccd,Possible
Zhu Su,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3,Possible
SBF/Alameda Research,0xc5ed2333f8a2c351fca35e5ebadb2a82f5d254c3,Possible
SBF/Alameda Research,0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83,Possible
SBF/Alameda Research,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,Possible
SBF/Alameda Research,0x4c8cfe078a5b989cea4b330197246ced82764c63,Possible
Pranksy,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,Possible
ParaFi Capital,0xd9b012a168fb6c1b71c24db8cee1a256b3caa2a2,Possible
ParaFi Capital,0x4655b7ad0b5f5bacb9cf960bbffceb3f0e51f363,Possible
CMS Holdings,0xafa64cca337efee0ad827f6c2684e69275226e90,Possible
3AC,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3,Possible
3AC,0x085af684acdb1220d111fee971b733c5e5ae6ccd,Possible
3AC,0x8e04af7f7c76daa9ab429b1340e0327b5b835748,Possible
Arca Capital,0xe05a884d4653289916d54ce6ae0967707c519879,Possible
HAM FUND,0x5bfF1A68663ff91b0650327D83D4230Cd00023Ad,Possible
